CNPJ_FUNDO,DIAS_OPERADOS,RETORNO_MEDIO_DIARIO,VOLATILIDADE_RISCO
45.088.539/0001-82,102,0.000506589832,2.304343724e-05
04.889.824/0001-15,102,-0.002997850866,0.01736124371
39.255.695/0001-98,102,0.000835477720,0.008270546536
26.370.126/0001-41,102,0.000413558155,0.007135244495
09.005.805/0001-00,102,-0.000057935948,0.01184907756
28.140.892/0001-45,102,0.000008026584,0.003997464446
32.312.090/0001-42,102,0.000248926574,0.002931698313
32.892.819/0001-05,102,0.000457231069,0.00060658635
35.828.684/0001-07,102,0.000644919185,0.002379211634
43.121.002/0001-41,102,0.000050519041,0.002665565606
38.443.033/0001-89,102,0.000611698337,0.001541393525
40.054.258/0001-95,102,0.001306558900,0.01098963234
34.793.147/0001-06,102,0.000708778091,0.002450906975
40.502.694/0001-80,102,0.000483002401,0.001481265675
02.177.812/0001-32,102,0.000428300120,0.0003464390278
35.088.108/0001-62,102,0.002072467090,0.01273172062
12.766.541/0001-04,102,0.000592869394,0.0001611241757
41.721.467/0001-08,102,0.000271879860,0.0006738419696
36.499.448/0001-49,102,0.000121470865,0.006171551831
05.104.498/0001-56,102,0.000825191870,0.002629724891
17.412.175/0001-09,102,-0.000111423672,0.001798748176
33.617.774/0001-15,102,0.000284547036,0.006746824438
37.307.534/0001-75,102,0.000697837379,0.001809660465
02.323.746/0001-61,102,0.000446891955,2.073644135e-05
42.263.927/0001-64,102,0.000474909237,0.0001604462527
41.342.624/0001-74,102,-0.000004109278,0.003246254611
32.835.495/0001-65,102,0.000160700125,0.001178657711
37.280.163/0001-85,102,-0.000196200907,0.009893682631
12.766.824/0001-56,102,0.000437458112,0.0007213688377
03.925.836/0001-95,102,0.002128933658,0.0206545929
04.331.424/0001-90,102,0.000468566300,6.589385404e-05
11.182.064/0001-77,102,0.000608641796,0.009155283447
05.090.778/0001-52,102,0.000479336387,8.01623353e-05
26.491.375/0001-95,102,0.000131763447,0.003976271243
48.658.548/0001-50,101,0.000508931798,0.003963344421
30.522.005/0001-45,102,0.000263492021,0.01055690348
10.941.848/0001-79,102,0.000286857053,0.00101706637
45.688.718/0001-50,102,0.000500808683,2.179449472e-05
20.162.345/0001-59,102,0.000133665118,0.002578264339
31.353.372/0001-25,102,-0.000072330427,0.001985727826
15.586.797/0001-28,102,0.000379936379,0.001615662403
41.763.017/0001-88,102,0.000696174753,0.007413373591
35.712.545/0001-05,102,0.000537937558,0.0009072337075
14.843.675/0001-07,102,-0.000335272559,0.008499946117
44.104.852/0001-02,102,0.000565432390,0.001166105055
40.209.167/0001-81,102,0.000291577505,0.006778070153
37.910.132/0001-60,102,0.000509155740,2.321637353e-05
17.822.186/0001-67,102,0.001188409324,0.009071922178
09.289.134/0001-49,102,0.000427338632,0.002594266178
88.002.696/0001-36,102,-0.000031888100,0.01197335308
09.625.909/0001-00,102,0.000486819738,0.001110417489
07.986.178/0001-00,102,0.000447874162,0.000252186439
37.011.641/0001-51,102,-0.000607195274,0.01220694155
17.329.627/0001-93,102,0.000213932624,0.001571932887
39.846.774/0001-73,102,-0.000237336917,0.008572073903
05.510.759/0001-38,102,0.000455883971,5.472659317e-05
23.711.486/0001-71,102,-0.000281783970,0.008449991953
34.780.531/0001-66,102,0.000551067420,4.430575583e-05
28.021.609/0001-66,102,0.000294861149,0.01262894212
03.660.879/0001-96,102,0.000137688224,0.01147689941
26.841.302/0001-86,102,0.000630343477,6.708203932e-06
00.185.259/0001-54,102,0.001414296993,0.01067622635
04.885.820/0001-69,102,-0.003006656001,0.01731041299
08.266.261/0001-60,102,0.000849574185,0.002604845485
30.036.235/0001-02,102,0.001251162906,0.009568224391
67.845.909/0001-11,102,0.000208052385,0.01007741247
20.441.301/0001-68,102,0.000613151580,1.044030651e-05
40.936.530/0001-60,102,-0.001913601845,0.01782838798
68.971.183/0001-26,102,0.000374739196,0.0006652683669
26.374.820/0001-37,102,0.001310958125,0.01107552179
17.804.757/0001-30,102,0.000347432020,0.001600577708
02.935.788/0001-53,102,0.000658266193,0.001806372331
07.005.590/0001-94,102,0.000506464300,0
44.690.952/0001-50,102,0.000099018452,0.01147731341
31.006.632/0001-96,102,0.000914193272,0.01131826714
13.106.979/0001-29,102,0.000775014580,0.003245932532
39.973.967/0001-95,102,0.000505418764,2.297825059e-05
21.321.454/0001-34,102,0.000437997757,0.009886956306
36.233.904/0001-04,102,0.000465464342,0.0002464041396
37.565.155/0001-85,102,-0.000252894631,0.004070354284
13.966.586/0001-95,102,-0.000052327976,0.01020944925
44.951.896/0001-60,97,0.000679643789,0.003149074785
41.755.394/0001-75,102,0.000008383911,0.01137967754
00.856.755/0001-92,102,0.000468529875,5.520869497e-05
